,year,name,movie,genre,age
14,1943,Greer Garson,Mrs. Miniver,F,38.0
15,1944,Jennifer Jones,The Song of Bernadette,F,25.0
16,1945,Ingrid Bergman,Gaslight,F,29.0
17,1946,Joan Crawford,Mildred Pierce,F,40.0
18,1947,Olivia de Havilland,To Each His Own,F,30.0
19,1948,Loretta Young,The Farmer's Daughter,F,35.0
20,1949,Jane Wyman,Johnny Belinda,F,32.0
21,1950,Olivia de Havilland,The Heiress,F,33.0
22,1951,Judy Holliday,Born Yesterday,F,29.0
23,1952,Vivien Leigh,A Streetcar Named Desire,F,38.0
24,1953,Shirley Booth,"Come Back, Little Sheba",F,54.0
25,1954,Audrey Hepburn,Roman Holiday,F,24.0
26,1955,Grace Kelly,The Country Girl,F,25.0
27,1956,Anna Magnani,The Rose Tattoo,F,48.0
28,1957,Ingrid Bergman,Anastasia,F,41.0
29,1958,Joanne Woodward,The Three Faces of Eve,F,28.0
30,1959,Susan Hayward,I Want to Live!,F,41.0
31,1960,Simone Signoret,Room at the Top,F,39.0
32,1961,Elizabeth Taylor,BUtterfield 8,F,29.0
33,1962,Sophia Loren,Two Women,F,27.0
34,1963,Anne Bancroft,The Miracle Worker,F,31.0
35,1964,Patricia Neal,Hud,F,31.0
36,1965,Julie Andrews,Mary Poppins,F,29.0
37,1966,Julie Christie,Darling,F,25.0
38,1967,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,F,35.0
39,1968,Katharine Hepburn,Guess Who's Coming to Dinner,F,60.0
40,1969,Katharine Hepburn,The Lion in Winter,F,61.0
41,1970,Barbra Streisand,Funny Girl,F,26.0
42,1971,Maggie Smith,The Prime of Miss Jean Brodie,F,35.0
43,1972,Glenda Jackson,Women in Love,F,34.0
44,1973,Jane Fonda,Klute,F,34.0
45,1974,Liza Minnelli,Cabaret,F,27.0
46,1975,Glenda Jackson,A Touch of Class,F,37.0
47,1976,Ellen Burstyn,Alice Doesn't Live Here Anymore	,F,42.0
48,1977,Louise Fletcher,One Flew Over the Cuckoo's Nest,F,41.0
49,1978,Faye Dunaway,Network,F,36.0
50,1979,Diane Keaton,Annie Hall,F,32.0
51,1980,Jane Fonda,Coming Home,F,41.0
52,1981,Sally Field,Norma Rae,F,33.0
53,1982,Sissy Spacek,Coal Miner's Daughter	,F,31.0
54,1983,Katharine Hepburn,On Golden Pond,F,74.0
55,1984,Meryl Streep,Sophie's Choice,F,33.0
56,1985,Shirley MacLaine,Terms of Endearment	,F,49.0
57,1986,Sally Field,Places in the Heart,F,38.0
58,1987,Geraldine Page,The Trip to Bountiful	,F,61.0
59,1988,Marlee Matlin,Children of a Lesser God,F,21.0
